date,alarmoff,notification,time2,application
8/26/20 04:04:00,1,0,0,0
8/26/20 04:13:00,1,0,0,0
8/26/20 05:45:00,0,1,0,0
8/26/20 06:11:00,0,0,1,0
8/26/20 06:12:00,0,0,1,0
8/26/20 07:06:00,0,0,1,14
8/26/20 07:45:00,0,0,0,1
8/26/20 07:48:00,0,0,0,1
8/26/20 08:02:00,0,0,1,0
8/26/20 08:30:00,1,0,0,0
8/26/20 09:18:00,0,0,1,14
8/26/20 09:33:00,0,0.33,0,0.67
8/26/20 09:47:00,0,0,0,30
8/26/20 11:00:00,0,0,1,0
8/26/20 13:02:00,0,0,0,5
8/26/20 13:26:00,0,0,0,45
8/26/20 14:26:00,0,0,1,0
8/26/20 15:09:00,0,0,0,1
8/26/20 16:09:00,0,0,0,1
8/26/20 17:49:00,0,0,0,15
8/26/20 21:29:00,0,0,1,0
8/27/20 04:04:00,1,0,0,0
8/27/20 04:14:00,1,0,0,0
8/27/20 04:24:00,1,0,0,0
8/27/20 04:34:00,1,0,0,0
8/27/20 04:44:00,0.33,0,0,0.67
8/27/20 06:39:00,0,0,0.33,0.67
8/27/20 08:42:00,0,0,1,0
8/27/20 09:29:00,0,0.33,0.67,0
8/27/20 12:01:00,0,0,0,15
8/27/20 12:56:00,0,1,0,0
8/27/20 15:08:00,0,1,0,0
8/27/20 18:23:00,0,0,0,5
8/27/20 19:48:00,0,1,0,0
8/28/20 02:30:00,1,0,0,0
8/28/20 02:40:00,1,0,0,0
8/28/20 03:00:00,0.2,0,0,4.8
8/28/20 04:04:00,1,0,0,0
8/28/20 06:48:00,0,4.8,0.2,0
8/28/20 07:12:00,0,0,0,5
8/28/20 14:28:00,0,1,0,14
8/28/20 15:33:00,0,1,1,28
