Kingdom,SubKingdom,InfraKingdom,Grade,Division,Subdivision,Phylum
Animalia,Protozoa,,,,,Protozoa
Animalia,Eumetazoa,Mesozoa,,,,Porifera
Animalia,Eumetazoa,Parazoa,,,,Placozoa
Animalia,Eumetazoa,Eumetazoa,Radiata,,,Cnidaria
Animalia,Eumetazoa,Eumetazoa,Radiata,,,Ctenophora
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Acoelomates,Platyhelminthes
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Acoelomates,Gnathostomulida
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Acoelomates,Nemertea
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Rotifera
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Gastrotricha
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Kinorhyncha
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Nematoda
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Nematomorpha
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Acanthocephala
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Entoprocta
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Priapulida
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Pseudocoelomates,Loricifera
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Mollusca
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Annelida
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Arthropoda
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Echiura
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Sipuncula
Animalia,Eumetazoa,Eumetazoa,Bilateria,Protostomia,Coelomates,Tardigrada
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,,Phoronida
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,,Phoronida
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,,Ectoprocta
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,,Chaetognatha
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,,Brachiopoda
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,Enterocoelomata,Echinodermata
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,Enterocoelomata,Hemichordata
Animalia,Eumetazoa,Eumetazoa,Bilateria,Deuterostomia,Enterocoelomata,Chordata
